"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"California","Siskiyou",2020,182,175,7,0,0,0,0,55,44,34,0,0,150,0,32,0
"California","Solano",2020,274,233,34,7,0,0,0,142,58,38,0,0,206,0,68,0
"California","Sonoma",2020,245,233,12,0,0,0,0,97,43,32,1,0,173,0,70,1
"California","Stanislaus",2020,274,139,108,14,13,0,0,184,97,50,0,1,184,0,88,1
"California","Sutter",2020,213,162,50,0,1,0,0,159,61,43,0,0,149,0,63,1
"California","Tehama",2020,213,170,43,0,0,0,0,93,61,41,0,0,181,0,32,0
"California","Trinity",2020,240,190,31,8,11,0,0,193,79,18,0,0,0,0,240,0
"California","Tulare",2020,244,71,100,62,9,2,0,209,136,66,0,0,163,0,81,0
"California","Tuolumne",2020,203,172,31,0,0,0,0,90,54,41,0,0,203,0,0,0
"California","Ventura",2020,274,178,80,13,3,0,0,153,87,46,0,0,248,0,26,0
"California","Yolo",2020,266,225,39,2,0,0,0,115,58,40,0,0,226,0,40,0
"Colorado","Adams",2020,285,159,115,10,1,0,0,151,74,48,0,32,154,0,45,54
"Colorado","Alamosa",2020,20,20,0,0,0,0,0,33,11,5,0,0,0,0,20,0
"Colorado","Arapahoe",2020,256,161,84,9,2,0,0,159,80,48,0,0,243,0,13,0
"Colorado","Archuleta",2020,260,258,2,0,0,0,0,55,28,18,0,0,0,0,0,260
"Colorado","Boulder",2020,277,162,99,15,1,0,0,161,84,48,0,0,208,0,68,1
"Colorado","Clear Creek",2020,86,54,28,4,0,0,0,143,80,47,0,0,86,0,0,0
"Colorado","Delta",2020,182,168,14,0,0,0,0,71,49,42,0,0,166,0,16,0
"Colorado","Denver",2020,285,148,122,15,0,0,0,150,85,50,0,58,130,0,95,2
"Colorado","Douglas",2020,276,172,88,13,3,0,0,159,87,47,0,0,224,0,52,0
"Colorado","El Paso",2020,275,183,85,6,1,0,0,151,74,46,0,0,238,0,36,1
"Colorado","Fremont",2020,12,12,0,0,0,0,0,27,20,12,0,0,0,0,0,12
"Colorado","Garfield",2020,182,124,58,0,0,0,0,97,74,48,0,0,182,0,0,0
"Colorado","Gilpin",2020,241,176,57,8,0,0,0,136,71,47,0,0,241,0,0,0
"Colorado","Gunnison",2020,234,186,46,2,0,0,0,108,58,45,0,0,234,0,0,0
"Colorado","Jackson",2020,15,15,0,0,0,0,0,5,5,2,0,0,0,0,15,0
"Colorado","Jefferson",2020,244,137,83,20,4,0,0,161,97,49,0,0,244,0,0,0
"Colorado","La Plata",2020,238,194,44,0,0,0,0,90,58,44,0,2,233,0,3,0
"Colorado","Larimer",2020,270,155,104,11,0,0,0,146,87,49,0,0,236,0,34,0
"Colorado","Mesa",2020,277,243,34,0,0,0,0,99,54,42,0,0,156,0,100,21
"Colorado","Montezuma",2020,244,195,47,2,0,0,0,126,61,45,0,0,244,0,0,0
"Colorado","Pitkin",2020,71,71,0,0,0,0,0,48,23,11,0,0,0,0,5,66
"Colorado","Prowers",2020,255,242,11,0,2,0,0,177,37,17,0,0,0,0,0,255
"Colorado","Pueblo",2020,68,65,3,0,0,0,0,63,43,18,0,0,0,0,42,26
"Colorado","Rio Blanco",2020,244,203,39,2,0,0,0,115,54,44,0,0,218,0,26,0
"Colorado","Routt",2020,257,253,4,0,0,0,0,68,30,13,0,0,0,0,0,257
"Colorado","San Juan",2020,19,19,0,0,0,0,0,9,7,3,0,0,0,0,19,0
"Colorado","San Miguel",2020,87,84,3,0,0,0,0,54,30,12,0,0,0,0,0,87
"Colorado","Weld",2020,276,165,101,10,0,0,0,140,84,48,0,0,201,0,75,0
"Connecticut","Fairfield",2020,182,137,43,2,0,0,0,143,63,44,0,9,112,0,61,0
